generation,chromosome_0,chromosome_1,chromosome_2,chromosome_3,chromosome_4,chromosome_5,chromosome_6,chromosome_7,chromosome_8,chromosome_9,chromosome_10,chromosome_11,chromosome_12,chromosome_13,chromosome_14,chromosome_15,chromosome_16,chromosome_17,chromosome_18,chromosome_19
0,1,11,10,12,-8,1,-13,-11,4,15,-13,1,-5,12,-3,-13,1,10,-2,-10
1,10,10,-1,-14,-13,3,13,-7,12,-12,-5,-1,-7,14,15,14,-13,-18,6,-6
2,15,12,-7,5,-14,2,12,-13,10,-2,-12,4,2,2,-12,-8,-1,-1,-2,8
3,9,12,-14,-14,14,1,-8,-6,-13,8,-18,10,-2,14,3,3,4,7,-5,-5
4,8,10,6,-3,-10,-7,-8,-14,13,2,4,-8,-12,3,-6,3,-8,11,8,8
5,9,12,9,-6,-18,-14,9,-5,8,8,-18,8,-7,21,-8,-2,-2,-6,16,-14
6,15,5,4,3,-15,12,-3,-2,7,-21,-6,3,0,-4,9,-4,7,-6,-2,-2
7,14,18,-12,-7,-4,3,3,-11,4,-4,-2,-2,-18,14,1,-6,-10,-10,18,11
8,10,10,-5,-15,8,4,-2,-1,-11,2,14,14,-6,-2,-7,0,-12,0,4,-5
9,2,13,4,-12,-5,0,-1,-6,-4,-8,2,-5,-4,12,0,1,1,-5,6,9
